Chr	WinCenter	Pi_NOV	Dxy_NU	Dxy_A1N	Dxy_A2N	Fst_NU	NOV_P	NOV_N1S	NOV_N2S	NOV_NS	NOV_US	NOV_UNS	NOV_UN1S	NOV_UN2S	Start	Stop	Class	Win	CommonTo3	CommonNOV
OphioH327chr_1	75000	0.00826368854473422	0.027052560664886968	0.005610084790293314	0.005621697723672052	0.805987	0.011317195850361521	0.0	0.0	0.3674944985853505	0.2209996856334486	0.4001886199308394	0.0	0.0	50000	100000	Introgressed	0	Undetermined	Undetermined
OphioH327chr_1	125000	0.008871450577637744	0.02457822967811452	0.007182130298076023	0.007264485714312019	0.7778470000000001	0.016103568045468898	0.0	0.0	0.24534259551626145	0.2604988948531733	0.4780549415850963	0.0	0.0	100000	150000	Introgressed	1	Undetermined	Undetermined
OphioH327chr_1	175000	0.011139941385201734	0.028760368952488118	0.011102406753283285	0.011438872024189785	0.753467	0.04388531304856641	0.0017554125219426564	0.0	0.2437097717963721	0.2322995904037449	0.4765944997074312	0.0017554125219426564	0.0	150000	200000	Introgressed	2	Undetermined	Peak
OphioH327chr_1	225000	0.011897341485318073	0.022562216346162896	0.01716233067129369	0.015092771720662824	0.663754	0.1304972693302673	0.0037367059499856282	0.0	0.22448979591836732	0.15176774935326245	0.4877838459327393	0.0017246335153779822	0.0	200000	250000	Introgressed	3	Peak	Peak
OphioH327chr_1	275000	0.010663856886978329	0.02581960530695459	0.015362298396226904	0.015893623560100326	0.739853	0.09781771501925546	0.0012836970474967909	0.0	0.2092426187419769	0.1681643132220796	0.5106546854942233	0.012836970474967908	0.0	250000	300000	Introgressed	4	Peak	Peak
OphioH327chr_1	325000	0.009491747314248957	0.030533522309088006	0.011876015171318558	0.012043724966608936	0.8022100000000001	0.050594415261266235	0.0	0.0	0.23693668786286975	0.22532485485208734	0.4865910975946917	0.0002764722145424385	0.0002764722145424385	300000	350000	Introgressed	5	Peak	Peak
OphioH327chr_1	375000	0.010525235600789282	0.029247914339969733	0.015462956794411578	0.01656257044100778	0.741464	0.0661317772915147	0.01823486506199854	0.0	0.21419888159494285	0.2047167517627036	0.4935570143447605	0.003160709944079747	0.0	350000	400000	Introgressed	6	Peak	Peak
OphioH327chr_1	425000	0.012752698635659572	0.03103952152397013	0.017778558302299796	0.016303389785888	0.71282	0.09902560616360752	0.0024926353954226148	0.00022660321776569228	0.22184455019261276	0.19261273510083846	0.4822116474053931	0.001586222524359846	0.0	400000	450000	Undetermined	7	Peak	Peak
OphioH327chr_1	475000	0.009517303076189093	0.028715570334212917	0.01472344005116764	0.014933971729836678	0.7177	0.08255563531945441	0.019382627422828428	0.0	0.182100981095956	0.17372577171572146	0.5357741086384302	0.006460875807609475	0.0	450000	500000	Undetermined	8	Peak	Peak
OphioH327chr_1	525000	0.0015145200768010686	0.027907409388204844	0.004099043313745264	0.004298731206689305	0.929366	0.053691275167785234	0.010067114093959731	0.0	0.313758389261745	0.012164429530201342	0.6069630872483222	0.003355704697986577	0.0	500000	550000	Undetermined	9	Undetermined	No-peak
