gene_ID,dxy_ame1/ame2,dxy_nov/ame1,dxy_nov/ame2,dxy_ulm/ame1,dxy_ulm/ame2,dxy_ulm/nov,dxy_nov/ame,dxy_ulm/ame,Length,JGI_ProteinID,Chrom,Gff_Start,Gff_Stop,Start,End,Description,dxy.ame1.ame2,dxy.ame1.nov,dxy.ame2.nov,dxy.ame1.ulm,dxy.ame2.ulm,dxy.nov.ulm,dxy.ame.ulm,dxy.ame.nov,dist.ame1,dist.ame2,dist.nov,high.ame1,high.ame2,high.nov,high1.a1a2,high1.anov,high05.a1a2,high05.anov
1978561,0.0,0.8636363636363641,0.8636363636363641,21.0,21.0,21.8636363636364,0.8636363636363641,21.0,1731,1978561,OphioH327chr_1,43034,44999,43034,44999,C6 zinc finger fungal transcription factor,0.0,0.0004989233758731161,0.0004989233758731161,0.012131715771230503,0.012131715771230503,0.012630639147103639,0.012131715771230503,0.0004989233758731161,0.0,0.0,0.0009978467517462323,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978562,0.0,0.0,0.0,30.0,30.0,30.0,0.0,30.0,1539,1978562,OphioH327chr_1,45408,46946,45408,46946,Glutamyl-tRNA(Gln) amidotransferase subunit A,0.0,0.0,0.0,0.01949317738791423,0.01949317738791423,0.01949317738791423,0.01949317738791423,0.0,0.0,0.0,0.0,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978563,0.0,0.0,0.0,15.0,15.0,15.0,0.0,15.0,2175,1978563,OphioH327chr_1,47942,50354,47942,50354,C6 zinc finger fungal transcription factor,0.0,0.0,0.0,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.0,0.0,0.0,0.0,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524,1978564,OphioH327chr_1,50768,52511,50768,52511,Uncharacterized transporter C1039.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317,1978565,OphioH327chr_1,53258,54753,53258,54753,L-saccharopine oxidase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978566,0.0666666666666667,0.0666666666666667,0.0,37.066666666666706,37.0,37.0,0.0666666666666667,37.066666666666706,1464,1978566,OphioH327chr_1,56977,58501,56977,58501,N amino acid transport system protein (Methyltryptophan resistance protein),4.553734061930785e-05,4.553734061930785e-05,0.0,0.02531876138433518,0.025273224043715847,0.025273224043715847,0.02531876138433518,4.553734061930785e-05,9.10746812386157e-05,0.0,0.0,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978567,0.0666666666666667,1.79393939393939,1.72727272727273,36.7809523809524,36.7142857142857,36.6233766233766,1.79393939393939,36.7809523809524,1710,1978567,OphioH327chr_1,58703,60412,58703,60412,Hexokinase,3.8986354775828475e-05,0.0010490873648768362,0.0010101010101010116,0.02150932887774994,0.021470342522974094,0.02141717931191614,0.02150932887774994,0.0010490873648768362,7.797270955165305e-05,3.903127820947816e-18,0.0020202020202020193,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978568,0.0,1.6363636363636398,1.6363636363636398,41.0,41.0,42.636363636363605,1.6363636363636398,41.0,1902,1978568,OphioH327chr_1,61487,63500,61487,63500,C6 zinc finger fungal transcription factor,0.0,0.0008603383997705783,0.0008603383997705783,0.021556256572029444,0.021556256572029444,0.022416594971800003,0.021556256572029444,0.0008603383997705783,0.0,0.0,0.0017206767995411566,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978569,0.0,1.8181818181818201,1.8181818181818201,18.0,18.0,18.0,1.8181818181818201,18.0,996,1978569,OphioH327chr_1,63574,64697,63574,64697,Glucosamine-6-phosphate deaminase/isomerase,0.0,0.0018254837531945984,0.0018254837531945984,0.018072289156626505,0.018072289156626505,0.018072289156626505,0.018072289156626505,0.0018254837531945984,0.0,0.0,0.003650967506389197,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978570,1.25128205128205,2.54848484848485,3.6048951048951103,35.5809523809524,36.6373626373626,34.7597402597403,2.54848484848485,35.5809523809524,1557,1978570,OphioH327chr_1,65474,67209,65474,67209,Choline transporter,0.0008036493585626525,0.001636791810202216,0.002315282662103475,0.022852249441844826,0.02353074029374605,0.022324817122505006,0.022852249441844826,0.001636791810202216,0.00012515850666139318,0.0014821402104639113,0.0031484251137430383,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978571,0.0,0.0,0.0,42.0,42.0,42.0,0.0,42.0,1650,1978571,OphioH327chr_1,68430,70198,68430,70198,Putative uncharacterized protein,0.0,0.0,0.0,0.025454545454545455,0.025454545454545455,0.025454545454545455,0.025454545454545455,0.0,0.0,0.0,0.0,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978572,0.0,0.0,0.0,23.0,23.0,23.0,0.0,23.0,1320,1978572,OphioH327chr_1,70917,72295,70917,72295,Putative uncharacterized protein,0.0,0.0,0.0,0.017424242424242425,0.017424242424242425,0.017424242424242425,0.017424242424242425,0.0,0.0,0.0,0.0,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
1978573,0.597435897435897,1.5030303030303,1.03146853146853,31.6,31.038461538461497,30.181818181818198,1.5030303030303,31.6,1518,1978573,OphioH327chr_1,72921,74625,72921,74625,Hexose transporter,0.0003935677848721324,0.0009901385395456523,0.0006794917862111528,0.020816864295125165,0.020446944359987812,0.019882620673134517,0.020816864295125165,0.0009901385395456523,0.0007042145382066319,8.292103153763287e-05,0.0012760625408846727,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier,No_outlier
