Chr	WinCenter	Pi_AME2	Dxy_A2U	Dxy_A1A2	Dxy_A2N	Fst_A2U	AME2_P	AME2_N1S	AME2_N2S	AME2_NS	AME2_US	AME2_UNS	AME2_UN1S	AME2_UN2S	Start	Stop	Class	Win	CommonTo3	CommonAME2
OphioH327chr_1	75000	3.211742263671047e-05	0.031869553596400924	0.0002584805816674507	0.005621697723672052	0.974269	0.0004083299305839118	0.002449979583503471	0.0	0.4773376888525929	0.0	0.5198040016333197	0.0	0.0	50000	100000	NotIntrogressed	0	Undetermined	No-peak
OphioH327chr_1	125000	5.541757575757576e-05	0.031006040938822126	0.0003301948337994788	0.007264485714312019	0.9759110000000001	0.0008680555555555555	0.004774305555555556	0.0	0.3372395833333333	0.0	0.6571180555555556	0.0	0.0	100000	150000	NotIntrogressed	1	Undetermined	No-peak
OphioH327chr_1	175000	0.0004933628512559731	0.03441341337893451	0.003560000066946292	0.011438872024189785	0.957915	0.0011811023622047244	0.029527559055118113	0.0	0.3279527559055118	0.0	0.6413385826771654	0.0	0.0	150000	200000	NotIntrogressed	2	Undetermined	No-peak
OphioH327chr_1	225000	0.0012456783923831991	0.02616432856862647	0.010069746022941828	0.015092771720662824	0.929233	0.0007908264136022142	0.01700276789244761	0.0	0.3088177145116647	0.0	0.6710162119414789	0.002372479240806643	0.0	200000	250000	NotIntrogressed	3	Peak	Peak
OphioH327chr_1	275000	0.00027264987173140096	0.03130960845813132	0.0021367445227315307	0.015893623560100326	0.9618129999999999	0.0	0.010930888575458392	0.0	0.28737658674189004	0.0	0.7013399153737658	0.00035260930888575463	0.0	250000	300000	NotIntrogressed	4	Peak	Peak
OphioH327chr_1	325000	0.00016949409871244635	0.03599479488679388	0.0006253139812991754	0.012043724966608936	0.971247	0.0003803727653100038	0.0038037276531000383	0.0	0.3259794598706733	0.0	0.6694560669456067	0.0	0.0003803727653100038	300000	350000	NotIntrogressed	5	Peak	Peak
OphioH327chr_1	375000	0.0007014434516370907	0.03357695875828357	0.004082540208313476	0.01656257044100778	0.9319620000000001	0.0013550135501355016	0.012195121951219513	0.0	0.2984417344173442	0.0	0.6876693766937669	0.00033875338753387534	0.0	350000	400000	NotIntrogressed	6	Peak	Peak
OphioH327chr_1	425000	0.0018092687101656255	0.03615262460160483	0.007081175731221727	0.016303389785888	0.914693	0.001282051282051282	0.0022435897435897434	0.0003205128205128205	0.3137820512820513	0.0	0.6820512820512821	0.0003205128205128205	0.0	400000	450000	NotIntrogressed	7	Peak	Peak
OphioH327chr_1	475000	0.0014442142589352663	0.031529454131214364	0.006610427661667996	0.014933971729836678	0.879101	0.0009950248756218905	0.003980099502487562	0.0	0.25240464344941954	0.0	0.742620232172471	0.0	0.0	450000	500000	NotIntrogressed	8	Peak	Peak
OphioH327chr_1	525000	0.00029616533756419354	0.02825418031230948	0.0017047069515700787	0.004298731206689305	0.9529770000000001	0.0009103322712790167	0.0	0.0	0.3404642694583523	0.0	0.6586253982703687	0.0	0.0	500000	550000	NotIntrogressed	9	Undetermined	No-peak
